rank,code,name,market,close,ma20,ma60,trend_score,vol_score,total_score,momentum_score,news_score,news_summary,scan_date,chunk
1,098460,고영,KOSDAQ,28400.0,25578.0,22484.0,50,30,80,0,0,,2026-01-17 15:25,1
2,268280,미원에스씨,KOSPI,134700.0,140070.0,138678.0,50,30,80,0,0,,2026-01-17 15:28,1
3,007340,DN오토모티브,KOSPI,23600.0,24648.0,24559.0,50,30,80,0,0,,2026-01-17 15:26,1
4,001120,LX인터내셔널,KOSPI,35650.0,32928.0,31755.0,50,30,80,0,0,,2026-01-17 15:26,1
5,204320,HL만도,KOSPI,64200.0,57565.0,47849.0,50,30,80,0,0,,2026-01-17 15:24,1
6,003490,대한항공,KOSPI,24300.0,22572.0,22212.0,50,30,80,0,0,,2026-01-17 15:23,1
7,000880,한화,KOSPI,124600.0,91650.0,88935.0,50,30,80,0,0,,2026-01-17 15:23,1
8,011780,금호석유화학,KOSPI,140100.0,126100.0,120502.0,50,30,80,0,0,,2026-01-17 15:24,1
9,090710,휴림로봇,KOSDAQ,12810.0,7866.0,6491.0,50,30,80,0,0,,2026-01-17 15:25,1
10,010950,S-Oil,KOSPI,89700.0,84225.0,81388.0,50,30,80,0,0,,2026-01-17 15:23,1
11,178320,서진시스템,KOSDAQ,27700.0,26132.0,25807.0,50,30,80,0,0,,2026-01-17 15:25,1
12,085620,미래에셋생명,KOSPI,8920.0,9196.0,9110.0,50,30,80,0,0,,2026-01-17 15:25,1
13,010120,LS ELECTRIC,KOSPI,533000.0,485825.0,466950.0,50,30,80,0,0,,2026-01-17 15:23,1
14,000370,한화손해보험,KOSPI,5720.0,5456.0,5429.0,50,30,80,0,0,,2026-01-17 15:28,1
15,000720,현대건설,KOSPI,104300.0,77820.0,70210.0,50,30,80,0,0,,2026-01-17 15:23,1
16,065350,신성델타테크,KOSDAQ,57900.0,57450.0,57362.0,50,30,80,0,0,,2026-01-17 15:25,1
17,001450,현대해상,KOSPI,26800.0,29350.0,28958.0,50,30,80,0,0,,2026-01-17 15:24,1
18,005850,에스엘,KOSPI,50000.0,44035.0,40158.0,50,30,80,0,0,,2026-01-17 15:24,1
19,348340,뉴로메카,KOSDAQ,71900.0,37398.0,32198.0,50,30,80,0,0,,2026-01-17 15:27,1
20,456040,OCI,KOSPI,72800.0,61405.0,60595.0,50,30,80,0,0,,2026-01-17 15:28,1
21,018260,삼성에스디에스,KOSPI,180000.0,174475.0,172988.0,50,30,80,0,0,,2026-01-17 15:23,1
22,074600,원익QnC,KOSDAQ GLOBAL,24350.0,21893.0,21735.0,50,30,80,0,0,,2026-01-17 15:28,1
23,005940,NH투자증권,KOSPI,22650.0,21295.0,21014.0,50,30,80,0,0,,2026-01-17 15:23,1
24,161390,한국타이어앤테크놀로지,KOSPI,62000.0,58875.0,56461.0,50,30,80,0,0,,2026-01-17 15:23,1
25,085660,차바이오텍,KOSDAQ,14890.0,14434.0,13713.0,50,30,80,0,0,,2026-01-17 15:26,1
26,353200,대덕전자,KOSPI,51800.0,46360.0,45770.0,50,30,80,0,0,,2026-01-17 15:24,1
27,036570,엔씨소프트,KOSPI,236500.0,215635.0,213178.0,50,30,80,0,0,,2026-01-17 15:23,1
28,002350,넥센타이어,KOSPI,7960.0,7621.0,7347.0,50,30,80,0,0,,2026-01-17 15:27,1
29,001040,CJ,KOSPI,187200.0,176295.0,176282.0,50,30,80,0,0,,2026-01-17 15:23,1
30,001680,대상,KOSPI,22150.0,21229.0,21086.0,50,30,80,0,0,,2026-01-17 15:27,1
31,009520,포스코엠텍,KOSDAQ GLOBAL,18380.0,16110.0,15906.0,50,30,80,0,0,,2026-01-17 15:27,1
32,128940,한미약품,KOSPI,436500.0,447975.0,439292.0,50,30,80,0,0,,2026-01-17 15:23,1
33,454910,두산로보틱스,KOSPI,90400.0,82555.0,79108.0,50,30,80,0,0,,2026-01-17 15:23,1
34,241560,두산밥캣,KOSPI,61900.0,59280.0,59085.0,50,30,80,0,0,,2026-01-17 15:23,1
35,025540,한국단자,KOSPI,74800.0,69940.0,65188.0,50,30,80,0,0,,2026-01-17 15:27,1
36,029780,삼성카드,KOSPI,52800.0,54110.0,53171.0,50,30,80,0,0,,2026-01-17 15:23,1
37,298020,효성티앤씨,KOSPI,288000.0,233950.0,224008.0,50,30,80,0,0,,2026-01-17 15:26,1
38,031980,피에스케이홀딩스,KOSDAQ,58000.0,48608.0,47676.0,50,30,80,0,0,,2026-01-17 15:26,1
39,022100,포스코DX,KOSPI,42000.0,29385.0,27518.0,50,30,80,0,0,,2026-01-17 15:23,1
40,120110,코오롱인더,KOSPI,43650.0,44608.0,41912.0,50,30,80,0,0,,2026-01-17 15:26,1
41,000250,삼천당제약,KOSDAQ,279000.0,243025.0,228862.0,50,30,80,0,0,,2026-01-17 15:23,1
42,101490,에스앤에스텍,KOSDAQ,59200.0,52698.0,52225.0,50,30,80,0,0,,2026-01-17 15:26,1
43,064400,LG씨엔에스,KOSPI,68000.0,63030.0,61685.0,50,30,80,0,0,,2026-01-17 15:23,1
44,082740,한화엔진,KOSPI,53000.0,45985.0,45227.0,50,30,80,0,0,,2026-01-17 15:23,1
45,005440,현대지에프홀딩스,KOSPI,8620.0,8308.0,8234.0,50,30,80,0,0,,2026-01-17 15:26,1
46,375500,DL이앤씨,KOSPI,42900.0,41458.0,41267.0,50,30,80,0,0,,2026-01-17 15:25,1
47,003550,LG,KOSPI,87500.0,82265.0,82043.0,50,30,80,0,0,,2026-01-17 15:23,1
48,066570,LG전자,KOSPI,98400.0,92685.0,90895.0,50,30,80,0,0,,2026-01-17 15:23,1
49,012330,현대모비스,KOSPI,431000.0,386775.0,338817.0,50,30,80,0,0,,2026-01-17 15:22,1
50,005490,POSCO홀딩스,KOSPI,331500.0,313775.0,312858.0,50,30,80,0,0,,2026-01-17 15:22,1
51,017960,한국카본,KOSPI,34950.0,33058.0,31848.0,50,30,80,0,0,,2026-01-17 15:25,1
52,005810,풍산홀딩스,KOSPI,39000.0,38125.0,37996.0,50,30,80,0,0,,2026-01-17 15:29,1
53,010060,OCI홀딩스,KOSPI,113700.0,111110.0,109413.0,50,30,80,0,0,,2026-01-17 15:25,1
54,267260,HD현대일렉트릭,KOSPI,906000.0,832900.0,826717.0,50,30,80,0,0,,2026-01-17 15:22,1
55,010130,고려아연,KOSPI,1585000.0,1312650.0,1240867.0,50,30,80,0,0,,2026-01-17 15:22,1
56,023530,롯데쇼핑,KOSPI,74900.0,72270.0,71218.0,50,30,80,0,0,,2026-01-17 15:25,1
57,015760,한국전력,KOSPI,54700.0,50050.0,48638.0,50,30,80,0,0,,2026-01-17 15:22,1
58,103140,풍산,KOSPI,123400.0,112945.0,107553.0,50,30,80,0,0,,2026-01-17 15:24,1
59,267270,HD현대건설기계,KOSPI,119700.0,105860.0,100655.0,50,30,80,0,0,,2026-01-17 15:25,1
60,042660,한화오션,KOSPI,147000.0,124515.0,123068.0,50,30,80,0,0,,2026-01-17 15:22,1
